symbol,country,company,last_price,change,percent_change,ticker,volume,market_cap
ACB:CA,"""CAN""],",Aurora Cannabis Inc.,11.88,0.05,0.42%,ACB,"12,888,293","$12,026,002,408.00"
ACRG:CNX,"""CAN""],",Acreage Holdings Inc.,,,,ACRG,0,
CL:CNX,"""CAN""],",Cresco Labs Inc. - Ordinary Shares (Sub Voting),14.75,-0.33,-2.19%,CL,"134,472","$547,496,356.00"
CNNX:CNX,"""CAN""],",Cannex Capital Holdings Inc. - Ordinary Shares,1.74,0.0,0.00%,CNNX,0,"$319,662,250.00"
CURA:CNX,"""CAN""],",Curaleaf Holdings Inc.,12.29,-0.31,-2.46%,CURA,"887,696","$4,119,881,305.00"
CWEB:CNX,"""CAN""],",Charlottes Web Holdings Inc - Ordinary Shares,27.0,0.86,3.29%,CWEB,"331,740","$2,514,339,522.00"
EMH:CA,"""CAN""],",Emerald Health Therapeutics Inc.,3.94,-0.09,-2.23%,EMH,"680,747","$562,478,525.00"
FIRE:CA,"""CAN""],",Supreme Cannabis Company Inc. (The),2.18,-0.05,-2.24%,FIRE,"1,203,645","$633,302,134.00"
GGB:CNX,"""CAN""],",Green Growth Brands Inc.,4.57,-0.12,-2.56%,GGB,"107,394","$853,300,497.00"
GLH:CNX,"""CAN""],",Golden Leaf Holdings Ltd,0.12,0.0,-4.17%,GLH,"1,654,445","$67,751,204.00"
GTII:CNX,"""CAN""],",Green Thumb Industries Inc - Ordinary Shares,19.88,1.31,7.05%,GTII,"554,412","$1,527,786,230.00"
HARV:CNX,"""CAN""],",Harvest Health & Recreation Inc - Ordinary Shares (Sub Voting),12.65,-0.07,-0.55%,HARV,"462,468","$854,895,020.00"
HEXO:CA,"""CAN""],",HEXO Corp.,8.65,0.1,1.17%,HEXO,"2,763,458","$1,820,273,173.00"
HIP:CA,"""CAN""],",Newstrike Brands Ltd.,0.53,0.02,3.92%,HIP,"604,683","$295,410,639.00"
IAN:CNX,"""CAN""],",iAnthus Capital Holdings Inc,7.44,-0.28,-3.63%,IAN,"856,002","$1,018,337,136.00"
ISOL:CNX,"""CAN""],",Isodiol International Inc.,1.53,-0.06,-3.77%,ISOL,"285,359","$61,997,825.00"
LHS:CNX,"""CAN""],",Liberty Health Sciences Inc,0.91,-0.02,-2.15%,LHS,"1,444,475","$311,190,653.00"
MJAR:CNX,"""CAN""],",MJardin Group Inc - Ordinary Shares,3.5,-0.35,-9.09%,MJAR,"160,030","$218,436,509.00"
MMEN:CNX,"""CAN""],",MedMen Enterprises Inc. Class B Subordinate Voting Shares,4.32,-0.11,-2.48%,MMEN,"679,688","$559,048,461.00"
MPX:CNX,"""CAN""],",MPX Bioceutical Corporation,,,,MPX,0,
N:CA,"""CAN""],",Namaste Technologies Inc.,0.69,0.0,0.00%,N,"1,039,590","$211,938,430.00"
